id,condition,timeRange,location,average
990641,snowy,morning,Paris,23
990642,windy,evening,Tokyo,11
990643,rainy,afternoon,Paris,14
990644,cloudy,night,Berlin,26
990645,cloudy,evening,Paris,20
990646,windy,afternoon,London,18
990647,snowy,night,Paris,12
990648,cloudy,evening,Paris,21
990649,snowy,morning,Sydney,19
990650,sunny,morning,Paris,11
990651,sunny,night,Paris,18
990652,rainy,night,Sydney,25
990653,windy,evening,London,15
990654,snowy,night,Berlin,21
990655,sunny,night,Sydney,20
990656,sunny,morning,Paris,24
990657,cloudy,morning,Paris,21
990658,snowy,night,Paris,26
990659,snowy,morning,London,21
990660,windy,morning,London,19
990661,cloudy,evening,Paris,25
990662,snowy,night,New York,20
990663,sunny,afternoon,Paris,13
990664,rainy,night,London,11
990665,cloudy,afternoon,New York,28
990666,sunny,afternoon,Berlin,23
990667,stormy,afternoon,Tokyo,28
990668,snowy,afternoon,Paris,29
990669,cloudy,evening,Tokyo,22
990670,stormy,morning,London,20
990671,rainy,night,London,23
990672,stormy,night,New York,21
990673,rainy,afternoon,London,23
990674,snowy,night,Tokyo,23
990675,sunny,night,Paris,25
990676,cloudy,afternoon,Paris,17
990677,cloudy,morning,Sydney,24
990678,stormy,afternoon,London,23
990679,rainy,evening,Sydney,28
990680,sunny,afternoon,London,15
990681,rainy,evening,Tokyo,15
990682,stormy,evening,London,10
990683,sunny,night,New York,19
990684,stormy,afternoon,Paris,20
990685,stormy,night,Tokyo,15
990686,sunny,evening,Sydney,18
990687,windy,afternoon,New York,11
990688,rainy,night,Tokyo,10
990689,sunny,night,Tokyo,24
990690,windy,morning,London,13
990691,rainy,morning,Sydney,14
990692,cloudy,night,Paris,28
990693,rainy,afternoon,New York,24
990694,sunny,afternoon,Sydney,15
990695,cloudy,evening,Sydney,13
990696,sunny,afternoon,Berlin,21
990697,snowy,night,New York,15
990698,cloudy,morning,Paris,14
990699,snowy,afternoon,Berlin,23
990700,sunny,morning,London,27
990701,stormy,night,Paris,28
990702,stormy,morning,New York,16
990703,windy,night,New York,23
990704,sunny,evening,London,29
990705,snowy,morning,London,13
990706,cloudy,afternoon,New York,29
990707,sunny,morning,Tokyo,11
990708,cloudy,afternoon,Sydney,22
990709,cloudy,morning,London,11
990710,snowy,evening,Berlin,22
990711,sunny,afternoon,Tokyo,28
990712,stormy,morning,New York,20
990713,windy,afternoon,Tokyo,16
990714,cloudy,afternoon,New York,24
990715,snowy,evening,Sydney,13
990716,cloudy,afternoon,Berlin,25
990717,snowy,night,Tokyo,25
990718,sunny,afternoon,Paris,17
990719,cloudy,morning,Sydney,23
990720,cloudy,morning,New York,25
990721,rainy,evening,London,21
990722,cloudy,morning,London,26
990723,cloudy,night,Sydney,18
990724,stormy,night,Sydney,16
990725,windy,evening,Sydney,24
990726,snowy,afternoon,New York,11
990727,sunny,morning,London,18
990728,windy,morning,Sydney,12
990729,snowy,afternoon,Berlin,12
990730,sunny,evening,Tokyo,25
990731,windy,afternoon,Tokyo,20
990732,windy,evening,Tokyo,18
990733,sunny,evening,New York,13
990734,cloudy,morning,Tokyo,26
990735,cloudy,night,New York,20
990736,rainy,morning,Sydney,28
990737,windy,evening,London,28
990738,snowy,evening,London,26
990739,cloudy,morning,London,26
990740,stormy,morning,Tokyo,24
990741,snowy,night,Tokyo,29
990742,rainy,night,London,17
990743,cloudy,evening,London,16
990744,snowy,morning,Sydney,26
990745,cloudy,morning,London,22
990746,snowy,evening,Paris,14
990747,cloudy,evening,Tokyo,21
990748,rainy,night,Tokyo,11
990749,snowy,night,Tokyo,28
990750,stormy,evening,Berlin,17
990751,stormy,evening,Berlin,20
990752,stormy,afternoon,Berlin,21
990753,stormy,afternoon,Sydney,10
990754,sunny,night,New York,13
990755,snowy,night,Berlin,11
990756,sunny,afternoon,New York,14
990757,rainy,afternoon,London,12
990758,windy,morning,London,28
990759,snowy,night,Sydney,24
990760,windy,night,Tokyo,16
990761,snowy,morning,Tokyo,18
990762,sunny,morning,Tokyo,12
990763,snowy,morning,New York,14
990764,rainy,morning,New York,23
990765,windy,morning,New York,26
990766,snowy,morning,Paris,16
990767,cloudy,afternoon,Paris,13
990768,rainy,morning,Paris,20
990769,snowy,morning,Berlin,25
990770,stormy,night,New York,10
990771,cloudy,afternoon,Tokyo,27
990772,windy,evening,Paris,27
990773,cloudy,morning,Berlin,27
990774,cloudy,night,Berlin,10
990775,rainy,evening,London,21
990776,rainy,afternoon,Berlin,12
990777,windy,evening,Paris,13
990778,snowy,morning,Berlin,27
990779,snowy,night,Paris,23
990780,stormy,morning,London,28
990781,cloudy,night,New York,12
990782,stormy,afternoon,Tokyo,18
990783,windy,evening,Sydney,20
990784,windy,evening,Berlin,26
990785,cloudy,morning,Berlin,17
990786,snowy,morning,New York,14
990787,cloudy,morning,Tokyo,27
990788,rainy,morning,Paris,12
990789,rainy,night,Tokyo,29
990790,cloudy,morning,Sydney,26
990791,cloudy,morning,London,29
990792,windy,evening,Sydney,18
990793,stormy,evening,Tokyo,27
990794,windy,night,New York,23
990795,cloudy,morning,Sydney,13
990796,windy,evening,Berlin,20
990797,stormy,night,Berlin,12
990798,windy,afternoon,New York,11
990799,rainy,afternoon,New York,18
990800,windy,morning,Sydney,23
990801,stormy,evening,Paris,29
990802,windy,night,Tokyo,11
990803,snowy,morning,Paris,12
990804,snowy,morning,Tokyo,16
990805,snowy,morning,Paris,19
990806,stormy,afternoon,Berlin,20
990807,rainy,afternoon,New York,26
990808,sunny,morning,New York,14
990809,snowy,night,Paris,19
990810,rainy,afternoon,Berlin,23
990811,snowy,night,Paris,26
990812,sunny,afternoon,Tokyo,19
990813,windy,evening,Tokyo,28
990814,cloudy,night,Paris,23
990815,windy,evening,London,24
990816,snowy,afternoon,London,24
990817,snowy,afternoon,New York,29
990818,windy,night,New York,10
990819,rainy,night,London,22
990820,stormy,night,New York,16
990821,snowy,afternoon,Sydney,25
990822,sunny,evening,Tokyo,11
990823,rainy,night,London,24
990824,cloudy,evening,Berlin,25
990825,snowy,evening,London,20
990826,snowy,afternoon,Paris,26
990827,cloudy,afternoon,Tokyo,22
990828,windy,morning,Sydney,20
990829,cloudy,afternoon,Berlin,20
990830,sunny,afternoon,New York,28
990831,rainy,evening,New York,23
990832,windy,evening,London,29
990833,stormy,night,Sydney,12
990834,sunny,afternoon,Paris,11
990835,rainy,afternoon,Tokyo,14
990836,sunny,morning,Paris,26
990837,snowy,night,Tokyo,18
990838,sunny,afternoon,Sydney,22
990839,stormy,morning,New York,24
990840,snowy,morning,Tokyo,23
990841,windy,morning,Sydney,28
990842,rainy,night,Berlin,13
990843,sunny,evening,London,24
990844,stormy,morning,Sydney,29
990845,snowy,evening,Paris,20
990846,snowy,morning,Tokyo,24
990847,snowy,evening,Berlin,22
990848,cloudy,morning,Sydney,23
990849,snowy,night,Paris,17
990850,stormy,afternoon,London,22
990851,sunny,evening,London,20
990852,cloudy,night,Paris,23
990853,windy,evening,Paris,11
990854,sunny,afternoon,London,17
990855,cloudy,morning,Berlin,24
990856,rainy,afternoon,New York,10
990857,cloudy,evening,London,10
990858,windy,night,Paris,24
990859,stormy,evening,Tokyo,29
990860,snowy,evening,Berlin,18
990861,rainy,evening,New York,22
990862,windy,afternoon,Berlin,22
990863,stormy,morning,London,18
990864,stormy,night,London,24
990865,sunny,morning,Berlin,22
990866,snowy,evening,Berlin,18
990867,snowy,afternoon,Tokyo,19
990868,snowy,afternoon,London,27
990869,cloudy,afternoon,New York,14
990870,rainy,night,London,27
990871,rainy,night,Sydney,29
990872,cloudy,evening,Tokyo,20
990873,windy,evening,New York,22
990874,rainy,night,Sydney,23
990875,cloudy,evening,Berlin,20
990876,sunny,night,New York,14
990877,windy,morning,Paris,23
990878,sunny,afternoon,Tokyo,11
990879,stormy,morning,Paris,10
990880,windy,morning,Paris,12
990881,windy,night,Paris,15
990882,stormy,afternoon,London,29
990883,sunny,night,Tokyo,24
990884,snowy,night,Sydney,12
990885,stormy,afternoon,Sydney,18
990886,cloudy,morning,Berlin,20
990887,cloudy,morning,Sydney,16
990888,snowy,evening,Paris,12
990889,windy,night,Paris,16
990890,windy,afternoon,London,29
990891,sunny,afternoon,Sydney,26
990892,rainy,night,Paris,26
990893,rainy,afternoon,Sydney,12
990894,sunny,morning,Paris,17
990895,windy,night,Berlin,19
990896,windy,morning,Paris,22
990897,windy,afternoon,London,10
990898,windy,morning,Sydney,21
990899,stormy,evening,New York,17
990900,snowy,afternoon,Tokyo,21
990901,snowy,afternoon,Berlin,28
990902,cloudy,morning,Tokyo,19
990903,cloudy,night,Berlin,19
990904,sunny,evening,New York,23
990905,cloudy,morning,Tokyo,15
990906,rainy,evening,London,17
990907,windy,morning,New York,28
990908,cloudy,afternoon,London,14
990909,rainy,evening,Paris,19
990910,cloudy,night,Sydney,29
990911,stormy,morning,Paris,13
990912,stormy,morning,Tokyo,21
990913,sunny,evening,Berlin,11
990914,sunny,morning,New York,19
990915,cloudy,evening,London,26
990916,cloudy,morning,Paris,12
990917,stormy,evening,Berlin,14
990918,windy,afternoon,New York,29
990919,sunny,morning,New York,27
990920,stormy,night,New York,18
990921,windy,evening,London,26
990922,rainy,night,Tokyo,18
990923,snowy,evening,Paris,20
990924,stormy,night,Paris,11
990925,stormy,night,Berlin,13
990926,stormy,afternoon,Berlin,29
990927,cloudy,afternoon,Tokyo,11
990928,stormy,afternoon,Berlin,29
990929,windy,afternoon,London,17
990930,cloudy,evening,Berlin,25
990931,rainy,evening,Berlin,27
990932,snowy,evening,Sydney,12
990933,stormy,evening,Tokyo,28
990934,windy,evening,Tokyo,18
990935,windy,afternoon,New York,21
990936,cloudy,morning,Berlin,27
990937,sunny,afternoon,Paris,22
990938,sunny,evening,Tokyo,28
990939,sunny,morning,Sydney,19
990940,sunny,night,Paris,13
990941,rainy,night,Paris,29
990942,sunny,evening,Paris,26
990943,stormy,afternoon,Sydney,14
990944,cloudy,afternoon,New York,27
990945,snowy,evening,New York,11
990946,sunny,evening,Paris,10
990947,windy,morning,Sydney,19
990948,stormy,morning,London,10
990949,snowy,morning,Berlin,28
990950,stormy,afternoon,London,14
990951,sunny,morning,Sydney,17
990952,sunny,morning,Berlin,19
990953,rainy,morning,New York,29
990954,snowy,evening,Berlin,17
990955,stormy,night,Paris,24
990956,windy,evening,London,22
990957,rainy,night,Paris,12
990958,sunny,afternoon,Paris,10
990959,windy,night,New York,23
990960,rainy,evening,Berlin,24
990961,snowy,afternoon,Tokyo,10
990962,windy,evening,Sydney,22
990963,stormy,night,New York,10
990964,rainy,morning,London,22
990965,stormy,night,Sydney,15
990966,cloudy,evening,Paris,18
990967,snowy,morning,Paris,13
990968,snowy,afternoon,Sydney,22
990969,stormy,afternoon,Berlin,22
990970,cloudy,evening,London,20
990971,sunny,night,London,20
990972,rainy,morning,London,27
990973,snowy,afternoon,Sydney,15
990974,sunny,morning,Berlin,18
990975,snowy,night,Tokyo,27
990976,windy,afternoon,New York,28
990977,rainy,evening,New York,22
990978,rainy,night,New York,16
990979,rainy,night,New York,20
990980,sunny,morning,London,10
990981,stormy,night,Sydney,17
990982,stormy,night,Berlin,24
990983,sunny,afternoon,New York,13
990984,windy,evening,London,28
990985,windy,night,New York,18
990986,stormy,evening,London,29
990987,snowy,night,Berlin,19
990988,windy,afternoon,London,27
990989,stormy,night,Berlin,18
990990,stormy,evening,Paris,29
990991,cloudy,night,New York,13
990992,snowy,morning,Sydney,20
990993,cloudy,afternoon,New York,13
990994,windy,morning,Sydney,22
990995,cloudy,morning,Tokyo,11
990996,cloudy,evening,Tokyo,27
990997,snowy,evening,Sydney,14
990998,stormy,morning,London,29
990999,stormy,night,Tokyo,23
991000,windy,morning,Berlin,11
991001,stormy,evening,Paris,13
991002,snowy,evening,Tokyo,21
991003,cloudy,night,Sydney,22
991004,stormy,morning,Berlin,24
991005,snowy,evening,Berlin,14
991006,rainy,evening,New York,25
991007,sunny,evening,Berlin,22
991008,windy,afternoon,Berlin,21
991009,stormy,afternoon,Tokyo,18
991010,cloudy,night,Berlin,10
991011,snowy,morning,Berlin,24
991012,cloudy,afternoon,Tokyo,18
991013,windy,afternoon,New York,14
991014,sunny,evening,Tokyo,28
991015,sunny,night,Sydney,25
991016,cloudy,night,Paris,21
991017,windy,morning,Paris,21
991018,cloudy,morning,New York,12
991019,snowy,evening,Tokyo,16
991020,snowy,night,Sydney,22
991021,windy,evening,New York,23
991022,stormy,afternoon,Tokyo,28
991023,sunny,afternoon,London,18
991024,rainy,night,Tokyo,27
991025,sunny,morning,Sydney,21
991026,sunny,afternoon,New York,10
991027,snowy,night,New York,20
991028,cloudy,afternoon,Paris,25
991029,stormy,evening,Tokyo,22
991030,rainy,evening,Berlin,17
991031,sunny,evening,Berlin,16
991032,windy,afternoon,Sydney,26
991033,stormy,evening,Tokyo,12
991034,rainy,night,Sydney,14
991035,windy,afternoon,Tokyo,17
991036,snowy,morning,New York,29
991037,sunny,morning,Tokyo,21
991038,windy,morning,Tokyo,17
991039,windy,night,Paris,10
991040,windy,night,Berlin,11
991041,windy,afternoon,Paris,10
991042,rainy,night,Berlin,20
991043,windy,evening,London,29
991044,rainy,afternoon,Tokyo,16
991045,stormy,night,Paris,23
991046,stormy,evening,New York,26
991047,sunny,afternoon,New York,22
991048,cloudy,night,London,21
991049,sunny,night,London,22
991050,cloudy,night,Tokyo,23
991051,rainy,morning,Tokyo,29
991052,rainy,evening,Berlin,29
991053,sunny,afternoon,New York,17
991054,snowy,evening,Tokyo,24
991055,rainy,morning,Tokyo,12
991056,snowy,afternoon,Tokyo,18
991057,sunny,afternoon,London,21
991058,stormy,night,Paris,28
991059,windy,evening,Paris,12
991060,sunny,evening,Tokyo,27
991061,sunny,morning,New York,14
991062,stormy,night,Sydney,26
991063,rainy,evening,Paris,24
991064,stormy,evening,Tokyo,27
991065,windy,night,Berlin,12
991066,rainy,night,Paris,28
991067,sunny,night,Tokyo,24
991068,rainy,afternoon,Sydney,11
991069,windy,evening,Berlin,22
991070,sunny,evening,Tokyo,23
991071,rainy,night,New York,18
991072,cloudy,morning,London,13
991073,snowy,morning,Berlin,28
991074,stormy,morning,London,23
991075,sunny,night,Sydney,20
991076,cloudy,evening,Sydney,20
991077,cloudy,evening,Sydney,13
991078,snowy,evening,Paris,16
991079,sunny,night,Sydney,20
991080,rainy,morning,Sydney,22
991081,rainy,night,New York,11
991082,sunny,evening,Tokyo,26
991083,cloudy,night,London,21
991084,cloudy,morning,New York,19
991085,windy,night,Sydney,22
991086,stormy,evening,London,18
991087,snowy,afternoon,Sydney,11
991088,snowy,afternoon,Paris,13
991089,snowy,evening,New York,26
991090,sunny,evening,Paris,10
991091,cloudy,night,London,25
991092,sunny,evening,New York,12
991093,sunny,night,London,24
991094,sunny,afternoon,Sydney,21
991095,snowy,morning,Paris,15
991096,cloudy,morning,Berlin,24
991097,rainy,afternoon,Tokyo,13
991098,stormy,night,New York,14
991099,windy,evening,Sydney,14
991100,stormy,afternoon,Paris,17
991101,rainy,afternoon,Tokyo,20
991102,windy,evening,Tokyo,17
991103,sunny,afternoon,London,29
991104,stormy,evening,Tokyo,20
991105,cloudy,evening,New York,26
991106,snowy,evening,Sydney,26
991107,rainy,morning,Berlin,16
991108,sunny,night,Tokyo,10
991109,windy,evening,Sydney,16
991110,rainy,evening,London,20
991111,sunny,evening,Tokyo,17
991112,sunny,night,London,10
991113,windy,night,New York,23
991114,sunny,night,Sydney,11
991115,cloudy,evening,New York,18
991116,rainy,evening,Tokyo,13
991117,sunny,afternoon,Paris,12
991118,cloudy,evening,Tokyo,10
991119,cloudy,morning,Paris,18
991120,sunny,afternoon,Tokyo,24
991121,sunny,morning,Berlin,24
991122,sunny,afternoon,London,29
991123,rainy,evening,Paris,14
991124,snowy,evening,London,29
991125,snowy,night,London,11
991126,snowy,afternoon,London,28
991127,snowy,morning,Paris,14
991128,sunny,evening,Sydney,10
991129,cloudy,afternoon,Paris,11
991130,windy,afternoon,Paris,23
991131,rainy,morning,Tokyo,29
991132,snowy,night,Paris,11
991133,windy,evening,New York,29
991134,rainy,morning,Paris,14
991135,rainy,afternoon,Berlin,10
991136,stormy,afternoon,London,17
991137,sunny,evening,Paris,17
991138,cloudy,afternoon,Sydney,10
991139,cloudy,morning,Tokyo,18
991140,windy,night,Berlin,21
991141,cloudy,evening,Sydney,12
991142,stormy,evening,London,18
991143,rainy,afternoon,New York,19
991144,cloudy,night,Sydney,21
991145,rainy,evening,Sydney,12
991146,sunny,afternoon,Berlin,14
991147,cloudy,evening,Tokyo,16
991148,rainy,night,Paris,10
991149,stormy,night,New York,21
991150,sunny,night,Berlin,13
991151,sunny,night,Berlin,28
991152,snowy,morning,Berlin,25
991153,cloudy,night,Tokyo,13
991154,windy,night,Tokyo,24
991155,rainy,afternoon,Sydney,26
991156,snowy,evening,London,28
991157,sunny,afternoon,London,15
991158,sunny,evening,Berlin,18
991159,cloudy,morning,London,22
991160,snowy,evening,Sydney,18
991161,windy,morning,Sydney,12
991162,stormy,evening,Paris,18
991163,snowy,night,New York,10
991164,sunny,evening,London,12
991165,rainy,evening,London,22
991166,sunny,morning,Sydney,21
991167,sunny,night,London,24
991168,windy,evening,Sydney,16
991169,windy,evening,Paris,13
991170,sunny,night,Paris,18
991171,stormy,evening,Berlin,28
991172,sunny,afternoon,Sydney,26
991173,stormy,afternoon,Sydney,14
991174,snowy,night,New York,28
991175,sunny,evening,Tokyo,13
991176,snowy,evening,Paris,25
991177,stormy,evening,New York,23
991178,sunny,morning,New York,29
991179,stormy,afternoon,Sydney,25
991180,cloudy,morning,Tokyo,17
991181,windy,afternoon,Sydney,16
991182,stormy,night,Tokyo,11
991183,rainy,night,London,16
991184,cloudy,evening,London,18
991185,stormy,evening,Tokyo,13
991186,rainy,night,Tokyo,27
991187,windy,night,London,26
991188,sunny,morning,New York,28
991189,sunny,night,Sydney,19
991190,cloudy,morning,London,29
991191,cloudy,evening,Tokyo,18
991192,snowy,night,New York,14
991193,stormy,afternoon,Tokyo,13
991194,sunny,afternoon,Paris,21
991195,sunny,morning,Paris,17
991196,cloudy,afternoon,Berlin,29
991197,stormy,afternoon,Berlin,27
991198,windy,afternoon,New York,22
991199,cloudy,evening,London,10
991200,windy,evening,Sydney,26
991201,windy,afternoon,Paris,10
991202,rainy,morning,Paris,29
991203,snowy,evening,Tokyo,15
991204,rainy,afternoon,Tokyo,28
991205,rainy,night,Sydney,15
991206,rainy,afternoon,London,12
991207,stormy,afternoon,New York,29
991208,snowy,afternoon,Tokyo,16
991209,windy,morning,Tokyo,25
991210,sunny,evening,Sydney,26
991211,rainy,afternoon,Paris,15
991212,sunny,evening,New York,20
991213,sunny,evening,London,15
991214,windy,afternoon,New York,18
991215,windy,morning,Berlin,28
991216,sunny,evening,London,25
991217,windy,evening,Tokyo,26
991218,sunny,evening,New York,12
991219,windy,afternoon,Tokyo,25
991220,windy,evening,Paris,19
991221,stormy,evening,Sydney,20
991222,rainy,night,Berlin,13
991223,cloudy,morning,Tokyo,13
991224,rainy,morning,London,15
991225,windy,morning,London,29
991226,sunny,afternoon,Berlin,25
991227,stormy,morning,Berlin,12
991228,rainy,morning,Tokyo,27
991229,windy,evening,Paris,16
991230,cloudy,morning,Paris,13
991231,snowy,evening,Berlin,28
991232,stormy,evening,Paris,20
991233,rainy,evening,Berlin,26
991234,sunny,night,Paris,14
991235,rainy,night,New York,18
991236,sunny,evening,Berlin,11
991237,windy,afternoon,Berlin,19
991238,rainy,morning,London,18
991239,cloudy,morning,Tokyo,14
991240,cloudy,evening,Tokyo,11
991241,windy,night,Sydney,27
991242,snowy,morning,Tokyo,29
991243,snowy,night,New York,22
991244,rainy,evening,New York,18
991245,sunny,evening,London,14
991246,cloudy,evening,Paris,12
991247,windy,afternoon,Tokyo,25
991248,cloudy,night,Berlin,15
991249,windy,evening,Sydney,15
991250,snowy,afternoon,Paris,12
991251,rainy,morning,Berlin,29
991252,rainy,night,London,27
991253,rainy,evening,Berlin,13
991254,cloudy,night,Tokyo,13
991255,snowy,night,Sydney,13
991256,rainy,evening,London,25
991257,rainy,morning,Tokyo,14
991258,sunny,night,Paris,27
991259,snowy,night,Berlin,28
991260,cloudy,afternoon,London,26
991261,windy,evening,Berlin,22
991262,rainy,night,Sydney,10
991263,stormy,morning,Paris,12
991264,rainy,afternoon,Berlin,16
991265,windy,morning,Paris,21
991266,rainy,evening,Sydney,16
991267,cloudy,evening,New York,25
991268,stormy,evening,Paris,27
991269,windy,morning,Berlin,22
991270,sunny,morning,Tokyo,27
991271,sunny,afternoon,Tokyo,29
991272,rainy,evening,Tokyo,23
991273,rainy,night,Tokyo,25
991274,cloudy,night,Berlin,12
991275,cloudy,evening,Paris,25
991276,stormy,evening,Paris,12
991277,sunny,evening,New York,11
991278,sunny,night,Paris,22
991279,snowy,evening,Tokyo,25
991280,snowy,evening,Paris,16
991281,rainy,evening,London,23
991282,snowy,night,New York,16
991283,stormy,evening,Sydney,17
991284,sunny,morning,Tokyo,26
991285,sunny,afternoon,Berlin,13
991286,rainy,afternoon,Berlin,15
991287,stormy,evening,London,27
991288,sunny,morning,London,27
991289,cloudy,night,New York,25
991290,snowy,night,New York,24
991291,sunny,night,Sydney,24
991292,snowy,morning,Sydney,25
991293,sunny,night,New York,25
991294,cloudy,evening,Berlin,15
991295,snowy,morning,Paris,28
991296,rainy,morning,Berlin,16
991297,cloudy,afternoon,New York,25
991298,snowy,morning,Tokyo,17
991299,snowy,evening,New York,18
991300,stormy,morning,Paris,27
991301,sunny,morning,Tokyo,23
991302,cloudy,afternoon,Berlin,25
991303,stormy,evening,London,20
991304,cloudy,evening,Sydney,14
991305,windy,evening,Berlin,20
991306,windy,afternoon,Sydney,11
991307,stormy,afternoon,New York,26
991308,stormy,morning,New York,13
991309,sunny,evening,Paris,10
991310,windy,morning,Sydney,26
991311,windy,afternoon,London,23
991312,windy,night,Paris,10
991313,rainy,evening,London,19
991314,sunny,morning,Tokyo,17
991315,cloudy,evening,Paris,26
991316,rainy,evening,Berlin,22
991317,windy,morning,Paris,16
991318,snowy,afternoon,Sydney,26
991319,snowy,morning,London,16
991320,snowy,afternoon,Sydney,23
991321,cloudy,evening,New York,27
991322,snowy,afternoon,Paris,23
991323,sunny,evening,New York,18
991324,snowy,morning,Tokyo,25
991325,windy,afternoon,Paris,21
991326,stormy,afternoon,Sydney,25
991327,cloudy,morning,London,18
991328,snowy,morning,Tokyo,17
991329,snowy,night,New York,13
991330,rainy,afternoon,New York,25
991331,snowy,evening,Berlin,13
991332,windy,night,London,16
991333,rainy,evening,Tokyo,10
991334,snowy,morning,Berlin,12
991335,stormy,afternoon,Sydney,16
991336,rainy,morning,Tokyo,25
991337,sunny,afternoon,Paris,22
991338,sunny,afternoon,Berlin,28
991339,rainy,afternoon,Sydney,16
991340,sunny,evening,Tokyo,16
991341,snowy,evening,New York,12
991342,stormy,night,Berlin,28
991343,rainy,evening,Sydney,18
991344,windy,morning,New York,24
991345,windy,night,Sydney,20
991346,cloudy,afternoon,New York,10
991347,stormy,morning,Tokyo,23
991348,snowy,morning,Sydney,13
991349,cloudy,night,Tokyo,19
991350,sunny,morning,Tokyo,23
991351,stormy,morning,Berlin,21
991352,rainy,morning,Paris,16
991353,sunny,evening,New York,26
991354,snowy,night,Berlin,27
991355,sunny,evening,Tokyo,23
991356,snowy,evening,Paris,22
991357,sunny,morning,Berlin,21
991358,sunny,afternoon,New York,28
991359,windy,afternoon,Berlin,12
991360,cloudy,night,London,28
991361,windy,morning,Sydney,26
991362,cloudy,morning,Paris,10
991363,sunny,night,Tokyo,12
991364,cloudy,evening,London,23
991365,windy,afternoon,Paris,22
991366,windy,night,New York,13
991367,windy,afternoon,New York,14
991368,snowy,evening,New York,28
991369,sunny,night,New York,26
991370,snowy,afternoon,Berlin,21
991371,cloudy,afternoon,Tokyo,19
991372,snowy,night,New York,29
991373,cloudy,evening,Tokyo,14
991374,rainy,afternoon,Sydney,17
991375,stormy,morning,New York,15
991376,windy,morning,Berlin,25
991377,sunny,night,Sydney,18
991378,rainy,evening,Paris,20
991379,windy,morning,Sydney,25
991380,windy,morning,Paris,21
991381,stormy,afternoon,Berlin,18
991382,rainy,evening,Tokyo,17
991383,rainy,night,Paris,10
991384,stormy,evening,New York,10
991385,rainy,morning,London,29
991386,snowy,afternoon,Sydney,25
991387,cloudy,evening,Tokyo,15
991388,snowy,morning,Paris,23
991389,snowy,afternoon,Sydney,21
991390,stormy,night,Berlin,14
991391,windy,morning,London,27
991392,stormy,morning,New York,27
991393,snowy,afternoon,London,24
991394,sunny,evening,Berlin,17
991395,rainy,night,Sydney,13
991396,stormy,night,Paris,29
991397,windy,afternoon,Berlin,20
991398,windy,evening,Paris,15
991399,snowy,afternoon,London,17
991400,stormy,morning,Tokyo,28
991401,sunny,morning,New York,19
991402,sunny,morning,Berlin,21
991403,sunny,afternoon,Sydney,18
991404,stormy,afternoon,Paris,21
991405,sunny,morning,London,29
991406,stormy,afternoon,Tokyo,17
991407,windy,night,Sydney,17
991408,stormy,night,Tokyo,14
991409,rainy,morning,Sydney,14
991410,rainy,afternoon,New York,12
991411,sunny,night,Paris,11
991412,stormy,evening,New York,29
991413,rainy,morning,Sydney,25
991414,cloudy,evening,Tokyo,19
991415,windy,afternoon,Paris,12
991416,rainy,morning,Paris,24
991417,windy,night,New York,20
991418,cloudy,afternoon,Berlin,24
991419,cloudy,night,Sydney,17
991420,windy,night,London,27
991421,cloudy,night,London,29
991422,rainy,afternoon,Tokyo,20
991423,stormy,morning,Sydney,26
991424,sunny,night,Tokyo,11
991425,windy,night,Sydney,19
991426,windy,evening,Tokyo,13
991427,sunny,night,London,21
991428,stormy,morning,Sydney,28
991429,sunny,night,Paris,15
991430,windy,night,Paris,10
991431,rainy,afternoon,Paris,16
991432,stormy,afternoon,Berlin,18
991433,windy,night,New York,10
991434,cloudy,night,Berlin,13
991435,sunny,morning,Berlin,24
991436,sunny,afternoon,Paris,13
991437,sunny,evening,Berlin,17
991438,cloudy,evening,Paris,18
991439,stormy,evening,Berlin,28
991440,stormy,morning,New York,27
991441,stormy,morning,Tokyo,20
991442,rainy,afternoon,Berlin,28
991443,windy,night,New York,12
991444,rainy,afternoon,Tokyo,22
991445,cloudy,morning,New York,14
991446,windy,morning,Paris,24
991447,cloudy,morning,London,25
991448,windy,night,New York,21
991449,snowy,evening,Tokyo,26
991450,sunny,afternoon,Berlin,18
991451,sunny,evening,Sydney,22
991452,rainy,morning,Berlin,11
991453,sunny,afternoon,Berlin,10
991454,sunny,evening,Berlin,22
991455,stormy,night,Berlin,12
991456,snowy,morning,London,10
991457,cloudy,morning,Tokyo,19
991458,cloudy,afternoon,Paris,11
991459,stormy,afternoon,London,27
991460,sunny,afternoon,Tokyo,19
991461,sunny,night,Tokyo,26
991462,rainy,afternoon,Sydney,22
991463,sunny,evening,Berlin,24
991464,stormy,morning,Tokyo,16
991465,windy,night,Tokyo,21
991466,rainy,morning,Tokyo,11
991467,sunny,evening,Sydney,10
991468,sunny,night,New York,25
991469,rainy,night,Sydney,20
991470,rainy,evening,New York,29
991471,sunny,evening,Sydney,25
991472,sunny,evening,Tokyo,24
991473,rainy,afternoon,Tokyo,21
991474,stormy,morning,London,25
991475,rainy,evening,Sydney,19
991476,stormy,morning,New York,27
991477,cloudy,evening,New York,26
991478,cloudy,night,Berlin,24
991479,sunny,night,London,23
991480,sunny,morning,Sydney,26
991481,cloudy,evening,Paris,10
991482,windy,morning,Berlin,26
991483,windy,morning,Berlin,15
991484,cloudy,morning,Sydney,18
991485,sunny,evening,London,17
991486,snowy,evening,Tokyo,12
991487,rainy,night,Tokyo,25
991488,rainy,evening,Tokyo,22
991489,rainy,evening,New York,15
991490,snowy,afternoon,Berlin,16
